ENTREZID	SYMBOL	ENSEMBL	GENENAME
101928530	CHFR-DT	ENSG00000236617	CHFR divergent transcript
100289635	ZNF605	ENSG00000196458	zinc finger protein 605
7574	ZNF26	ENSG00000198393	zinc finger protein 26
101928597	ZNF84-DT	ENSG00000246394	ZNF84 divergent transcript
7637	ZNF84	ENSG00000198040	zinc finger protein 84
7699	ZNF140	ENSG00000196387	zinc finger protein 140
101060200	ZNF891	ENSG00000214029	zinc finger protein 891
7556	ZNF10	ENSG00000256223	zinc finger protein 10
10795	ZNF268	ENSG00000090612	zinc finger protein 268
647589	ANHX	ENSG00000227059	anomalous homeobox
26080	FAM230C	ENSG00000279516	family with sequence similarity 230 member C
26080	FAM230C	ENSG00000281252	family with sequence similarity 230 member C
100874164	LINC00417	NA	long intergenic non-protein coding RNA 417
284232	ANKRD20A9P	NA	ankyrin repeat domain 20 family member A9, pseudogene
100873763	RNU6-55P	ENSG00000223024	RNA, U6 small nuclear 55, pseudogene
100873777	RNU6-76P	ENSG00000206787	RNA, U6 small nuclear 76, pseudogene
100652856	LINC00408	ENSG00000226250	long intergenic non-protein coding RNA 408
105370098	NA	NA	NA
105377819	NA	NA	NA
348021	LINC00442	ENSG00000232685	long intergenic non-protein coding RNA 442
100873761	RNU6-52P	NA	RNA, U6 small nuclear 52, pseudogene
7278	TUBA3C	ENSG00000198033	tubulin alpha 3c
101928697	LOC101928697	NA	Putative uncharacterized protein LOC645739
100101938	ANKRD26P3	ENSG00000237636	ankyrin repeat domain 26 pseudogene 3
100287114	LINC00421	ENSG00000236834	long intergenic non-protein coding RNA 421
93492	TPTE2	ENSG00000132958	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2
54737	MPHOSPH8	ENSG00000196199	M-phase phosphoprotein 8
55269	PSPC1	ENSG00000121390	paraspeckle component 1
9205	ZMYM5	ENSG00000132950	zinc finger MYM-type containing 5
7750	ZMYM2	ENSG00000121741	zinc finger MYM-type containing 2
104355137	LINC01072	ENSG00000236076	long intergenic non-protein coding RNA 1072
2700	GJA3	ENSG00000121743	gap junction protein alpha 3
2706	GJB2	ENSG00000165474	gap junction protein beta 2
10804	GJB6	ENSG00000121742	gap junction protein beta 6
51084	CRYL1	ENSG00000165475	crystallin lambda 1
100616304	MIR4499	ENSG00000263978	microRNA 4499
8100	IFT88	ENSG00000032742	intraflagellar transport 88
53342	IL17D	ENSG00000172458	interleukin 17D
221143	EEF1AKMT1	ENSG00000150456	EEF1A lysine methyltransferase 1
64328	XPO4	ENSG00000132953	exportin 4
101930748	LINC00367	ENSG00000233780	long intergenic non-protein coding RNA 367
26524	LATS2	ENSG00000150457	large tumor suppressor kinase 2
10284	SAP18	ENSG00000150459	Sin3A associated protein 18
221150	SKA3	ENSG00000165480	spindle and kinetochore associated complex subunit 3
78988	MRPL57	ENSG00000173141	mitochondrial ribosomal protein L57
103689843	LINC01046	NA	long intergenic non-protein coding RNA 1046
101928764	LOC101928764	ENSG00000290911	coiled-coil domain-containing protein 144B
650794	MIPEPP3	ENSG00000291046	mitochondrial intermediate peptidase pseudogene 3
100652865	LINC00539	ENSG00000224429	long intergenic non-protein coding RNA 539
253832	ZDHHC20	ENSG00000180776	zinc finger DHHC-type palmitoyltransferase 20
221154	MICU2	ENSG00000165487	mitochondrial calcium uptake 2
100873767	RNU6-59P	ENSG00000207518	RNA, U6 small nuclear 59, pseudogene
2254	FGF9	ENSG00000102678	fibroblast growth factor 9
100874182	LINC00424	ENSG00000226722	long intergenic non-protein coding RNA 424
100506622	LINC00540	ENSG00000276476	long intergenic non-protein coding RNA 540
646201	BASP1P1	NA	BASP1 pseudogene 1
6445	SGCG	ENSG00000102683	sarcoglycan gamma
100873766	RNU6-58P	NA	RNA, U6 small nuclear 58, pseudogene
26278	SACS	ENSG00000151835	sacsin molecular chaperone
100506680	SACS-AS1	ENSG00000229558	SACS antisense RNA 1
100506697	LINC00327	ENSG00000232977	long intergenic non-protein coding RNA 327
55504	TNFRSF19	ENSG00000127863	TNF receptor superfamily member 19
4285	MIPEP	ENSG00000027001	mitochondrial intermediate peptidase
542767	PCOTH	ENSG00000205861	prostate and testis expressed opposite C1QTNF9B and MIPEP
387911	C1QTNF9B	ENSG00000205863	C1q and TNF related 9B
400110	ANKRD20A19P	NA	ankyrin repeat domain 20 family member A19, pseudogene
221178	SPATA13	ENSG00000182957	spermatogenesis associated 13
221178	SPATA13	ENSG00000228741	spermatogenesis associated 13
100313842	MIR2276	ENSG00000252695	microRNA 2276
100874231	SPATA13-AS1	ENSG00000227213	SPATA13 antisense RNA 1
338872	C1QTNF9	ENSG00000240654	C1q and TNF related 9
143	PARP4	ENSG00000102699	poly(ADP-ribose) polymerase family member 4
105370295	LOC105370295	ENSG00000287376	uncharacterized LOC105370295
101927375	LOC101927375	NA	ankyrin repeat domain-containing protein 26-like
374491	TPTE2P6	NA	TPTE2 pseudogene 6
479	ATP12A	ENSG00000075673	ATPase H+/K+ transporting non-gastric alpha2 subunit
56163	RNF17	ENSG00000132972	ring finger protein 17
55835	CENPJ	ENSG00000151849	centromere protein J
646405	TPTE2P1	NA	TPTE2 pseudogene 1
5042	PABPC3	ENSG00000151846	poly(A) binding protein cytoplasmic 3
219287	AMER2	ENSG00000165566	APC membrane recruitment protein 2
101928922	LINC00463	ENSG00000234056	long intergenic non-protein coding RNA 463
102723318	LINC01053	ENSG00000238169	long intergenic non-protein coding RNA 1053
9107	MTMR6	ENSG00000139505	myotubularin related protein 6
9818	NUP58	ENSG00000139496	nucleoporin 58
51761	ATP8A2	ENSG00000132932	ATPase phospholipid transporting 8A2
100873778	RNU6-78P	ENSG00000199767	RNA, U6 small nuclear 78, pseudogene
387914	SHISA2	ENSG00000180730	shisa family member 2
6049	RNF6	ENSG00000127870	ring finger protein 6
1024	CDK8	ENSG00000132964	cyclin dependent kinase 8
